,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
BoulwareAgent,0.8414235285562499,0.581576532850911,1.56447817602875,2671.6875,80,80,0,0
HardlinerAgent,0.819303462375,0.437884299737907,1.2594430765662499,3480.2375,80,66,14,0
Group32Agent,0.7633643985837499,0.608627421594825,1.5259050097400002,1151.2875,80,75,5,0
TimeDependentAgent,0.7447089760925,0.6171747834286,1.5943010214587499,854.7375,80,80,0,0
ConcederAgent,0.6916136792700001,0.6001554173581052,1.574676554245,388.625,80,80,0,0
RandomAgent,0.6290843418087501,0.5890726648693934,1.4601929353337497,1764.625,80,71,9,0
